;Math & Portuguese;;Math;;% below adequate level;Portuguese;;% below adequate level
;I;II;I;II;II;I;II;II
;b/se;b/se;b/se;b/se;b/se;b/se;b/se;b/se
T2007;0.024;;0.407;;;0.878;;
;0.030;;0.912;;;0.782;;
T2009;;-0.103;;-4.485;3.585;;-0.963;1.432
;;0.029;;0.928;0.692;;0.683;0.585
N;5839.000;7238.000;5839.000;7238.000;7239.000;5839.000;7238.000;7239.000
r2;0.552;0.809;0.594;0.792;0.775;0.507;0.803;0.768
pvalue;0.548;0.008;0.678;0.000;0.000;0.478;0.156;0.093
lowerb;-0.080;-0.229;-2.590;-8.099;1.554;-1.957;-4.188;-0.334
upperb;0.080;-0.030;2.314;-1.704;6.312;2.352;0.315;3.639
media;5.189;5.184;203.366;203.201;49.877;183.939;183.788;65.069
sd;0.663;0.661;19.477;19.425;16.431;16.679;16.606;15.005
mediaT;4.813;4.813;192.547;192.547;58.153;174.588;174.588;71.372
sdT;0.566;0.566;15.393;15.393;13.852;15.318;15.318;12.968
mediaC;5.280;5.280;205.976;205.976;47.721;186.184;186.184;63.427
sdC;0.650;0.650;19.409;19.409;16.368;16.086;16.086;15.067
